Name,obfuscation,,,,,,,,,,,,,,,,,,,,original,,,,,,,,,,,,,,,,,,,,,,
,FL,RC,Fix,w/ code,w/o code,w/ code,w/o code,w/ code,w/o code,w/ code,w/o code,w/ code,w/o code,w/ code,w/o code,w/ code,w/o code,w/ code,w/o code,code,FL,RC,Fix,w/ code,w/o code,,w/ code,w/o code,w/ code,w/o code,w/ code,w/o code,w/ code,w/o code,w/ code,w/o code,w/ code,w/o code,w/ code,w/o code,w/ code,w/o code,code
d4j_chart_2,correct,correct,workaround,571,320,571,320,,,,,,,,,,,,,251,incorrect,incorrect,workaround,1238,606,d4j_chart_2,556,309,682,297,,,,,,,,,,,,,632
d4j_chart_4,correct,correct,identical,491,332,491,332,,,,,,,,,,,,,159,correct,correct,identical,568,268,d4j_chart_4,568,268,,,,,,,,,,,,,,,300
d4j_chart_14,incorrect,correct,identical,503,342,503,342,,,,,,,,,,,,,161,correct,correct,identical,531,386,d4j_chart_14,531,386,,,,,,,,,,,,,,,145
d4j_chart_16,correct,correct,alternatives,465,288,465,288,,,,,,,,,,,,,177,correct,correct,identical,935,450,d4j_chart_16,409,238,526,212,,,,,,,,,,,,,485
d4j_cli_5,correct,correct,identical,288,242,288,242,,,,,,,,,,,,,46,correct,correct,identical,277,232,d4j_cli_5,277,232,,,,,,,,,,,,,,,45
d4j_cli_30,correct,correct,workaround,476,302,476,302,,,,,,,,,,,,,174,correct,correct,alternatives,476,262,d4j_cli_30,476,262,,,,,,,,,,,,,,,214
d4j_closure_2,correct,correct,workaround,486,330,486,330,,,,,,,,,,,,,156,correct,correct,alternatives,345,251,d4j_closure_2,345,251,,,,,,,,,,,,,,,94
d4j_closure_171,incorrect,incorrect,incorrect,4279,3021,483,351,523,413,618,430,676,465,601,451,703,468,675,443,1258,incorrect,incorrect,incorrect,5050,3214,d4j_closure_171,516,360,465,354,741,392,694,395,676,388,581,449,661,465,716,411,1836
d4j_codec_5,incorrect,incorrect,incorrect,601,349,601,349,,,,,,,,,,,,,252,incorrect,incorrect,incorrect,959,522,d4j_codec_5,522,298,437,224,,,,,,,,,,,,,437
d4j_codec_13,correct,correct,alternatives,412,338,412,338,,,,,,,,,,,,,74,correct,correct,alternatives,266,236,d4j_codec_13,266,236,,,,,,,,,,,,,,,30
d4j_codec_17,correct,correct,equivalent,274,250,274,250,,,,,,,,,,,,,24,correct,correct,equivalent,405,273,d4j_codec_17,405,273,,,,,,,,,,,,,,,132
d4j_csv_4,correct,correct,equivalent,364,301,364,301,,,,,,,,,,,,,63,correct,correct,identical,366,298,d4j_csv_4,366,298,,,,,,,,,,,,,,,68
